Scan Name,Updated,Type,Module,Source,F/P,Data
www.firstquality.com,2025-08-12 20:46:30,SIMILARDOMAIN_WHOIS,sfp_whois,azure.ro,0,"
% The WHOIS service offered by ROTLD and the access to the records in the ROTLD WHOIS database 
% are provided for information purposes and to be used within the scope of technical or administrative
% necessities of Internet operation or to remedy legal problems. The use for other purposes, 
% in particular for advertising and domain hunting, is not permitted.

% Without prejudice to the above, it is explicitly forbidden to extract, copy and/or use or re-utilise
% in any form and by any means (electronically or not) the whole or a quantitatively or qualitatively 
% substantial part of the contents of the WHOIS database without prior and explicit permission by ROTLD, 
% nor in any attempt hereof, to apply automated, electronic processes to ROTLD (or its systems).

% ROTLD cannot, under any circumstances, be held liable in case the stored information would prove 
% to be wrong, incomplete or not accurate in any sense.

% You agree that any reproduction and/or transmission of data for commercial purposes will a"
www.firstquality.com,2025-08-12 23:07:14,SIMILARDOMAIN_WHOIS,sfp_whois,windows.com.ro,0,"
% The WHOIS service offered by ROTLD and the access to the records in the ROTLD WHOIS database 
% are provided for information purposes and to be used within the scope of technical or administrative
% necessities of Internet operation or to remedy legal problems. The use for other purposes, 
% in particular for advertising and domain hunting, is not permitted.

% Without prejudice to the above, it is explicitly forbidden to extract, copy and/or use or re-utilise
% in any form and by any means (electronically or not) the whole or a quantitatively or qualitatively 
% substantial part of the contents of the WHOIS database without prior and explicit permission by ROTLD, 
% nor in any attempt hereof, to apply automated, electronic processes to ROTLD (or its systems).

% ROTLD cannot, under any circumstances, be held liable in case the stored information would prove 
% to be wrong, incomplete or not accurate in any sense.

% You agree that any reproduction and/or transmission of data for commercial purposes will a"
www.firstquality.com,2025-08-12 23:07:13,SIMILARDOMAIN_WHOIS,sfp_whois,windows.ro,0,"
% The WHOIS service offered by ROTLD and the access to the records in the ROTLD WHOIS database 
% are provided for information purposes and to be used within the scope of technical or administrative
% necessities of Internet operation or to remedy legal problems. The use for other purposes, 
% in particular for advertising and domain hunting, is not permitted.

% Without prejudice to the above, it is explicitly forbidden to extract, copy and/or use or re-utilise
% in any form and by any means (electronically or not) the whole or a quantitatively or qualitatively 
% substantial part of the contents of the WHOIS database without prior and explicit permission by ROTLD, 
% nor in any attempt hereof, to apply automated, electronic processes to ROTLD (or its systems).

% ROTLD cannot, under any circumstances, be held liable in case the stored information would prove 
% to be wrong, incomplete or not accurate in any sense.

% You agree that any reproduction and/or transmission of data for commercial purposes will a"
www.firstquality.com,2025-08-12 20:21:08,SIMILARDOMAIN_WHOIS,sfp_whois,azure.co.il,0,"
% The data in the WHOIS database of the .il registry is provided
% by ISOC-IL for information purposes, and to assist persons in 
% obtaining information about or related to a domain name 
% registration record. ISOC-IL does not guarantee its accuracy.
% By submitting a WHOIS query, you agree that you will use this
% Data only for lawful purposes and that, under no circumstances
% will you use this Data to: (1) allow, enable, or otherwise 
% support the transmission of mass unsolicited, commercial 
% advertising or solicitations via e-mail (spam); 
% or  (2) enable high volume, automated, electronic processes that 
% apply to ISOC-IL (or its systems).
% ISOC-IL reserves the right to modify these terms at any time.
% By submitting this query, you agree to abide by this policy.
 
query:        azure.co.il

reg-name:     azure
domain:       azure.co.il

descr:        Yishai Haetzni
descr:        13 Yehoshua Bin-Nun st.
descr:        Jerusalem
descr:        93145
descr:        Israel
phone:        +972 2 5605555"
www.firstquality.com,2025-08-12 20:21:09,SIMILARDOMAIN_WHOIS,sfp_whois,azure.org.il,0,"
% The data in the WHOIS database of the .il registry is provided
% by ISOC-IL for information purposes, and to assist persons in 
% obtaining information about or related to a domain name 
% registration record. ISOC-IL does not guarantee its accuracy.
% By submitting a WHOIS query, you agree that you will use this
% Data only for lawful purposes and that, under no circumstances
% will you use this Data to: (1) allow, enable, or otherwise 
% support the transmission of mass unsolicited, commercial 
% advertising or solicitations via e-mail (spam); 
% or  (2) enable high volume, automated, electronic processes that 
% apply to ISOC-IL (or its systems).
% ISOC-IL reserves the right to modify these terms at any time.
% By submitting this query, you agree to abide by this policy.
 
query:        azure.org.il

reg-name:     azure
domain:       azure.org.il

descr:        The Shalem Center
descr:        3 Haaskan St.
descr:        Jerusalem
descr:        9378010
descr:        Israel
phone:        +972 2 5605555
fa"
www.firstquality.com,2025-08-12 22:44:20,SIMILARDOMAIN_WHOIS,sfp_whois,windows.co.il,0,"
% The data in the WHOIS database of the .il registry is provided
% by ISOC-IL for information purposes, and to assist persons in 
% obtaining information about or related to a domain name 
% registration record. ISOC-IL does not guarantee its accuracy.
% By submitting a WHOIS query, you agree that you will use this
% Data only for lawful purposes and that, under no circumstances
% will you use this Data to: (1) allow, enable, or otherwise 
% support the transmission of mass unsolicited, commercial 
% advertising or solicitations via e-mail (spam); 
% or  (2) enable high volume, automated, electronic processes that 
% apply to ISOC-IL (or its systems).
% ISOC-IL reserves the right to modify these terms at any time.
% By submitting this query, you agree to abide by this policy.
 
query:        windows.co.il

reg-name:     windows
domain:       windows.co.il

descr:        Microsoft Corporation
descr:        One Microsoft Way
descr:        Redmont WA
descr:        98052
descr:        USA
phone:        +1 4 2588"
www.firstquality.com,2025-08-12 23:12:58,SIMILARDOMAIN_WHOIS,sfp_whois,windows.uz,0,"
% Uzbekistan Whois Server Version 1.0

% Domain names in the .uz domain can now be registered
% with many different competing registrars. Go to http://www.cctld.uz/
% for detailed information.

   Domain Name: WINDOWS.UZ
   Registrar: Arsenal-D
   Whois Server: www.whois.uz
   Referral URL: http://www.cctld.uz/
   Name Server: ns3.hostmaster.uz. 37.140.216.216
   Name Server: revers.hostmaster.uz. 91.213.99.17
   Name Server: not.defined. <no value>
   Name Server: not.defined. <no value>
   Status: ACTIVE
   Updated Date: 22-May-2025
   Creation Date: 09-Jun-2022
   Expiration Date: 10-Jun-2026


% >>> Last update of whois database: Tue, 12 Aug 2025 22:42:54 +0500 <<<

% NOTICE: The expiration date displayed in this record is the date the
% registrar's sponsorship of the domain name registration in the registry is
% currently set to expire. This date does not necessarily reflect the expiration
% date of the domain name registrant's agreement with the sponsoring
% registrar.  Users may consult the sponsoring"
www.firstquality.com,2025-08-12 23:12:56,SIMILARDOMAIN_WHOIS,sfp_whois,windows.co.uz,0,"
% Uzbekistan Whois Server Version 1.0

% Domain names in the .uz domain can now be registered
% with many different competing registrars. Go to http://www.cctld.uz/
% for detailed information.

Sorry, but domain: ""windows.co.uz"", not found in database

WHOIS Server: tomas.uz

%  The Whois Server (ver. 1.0) of ccTLD.UZ
%  (c) 2017, Center UZINFOCOM
"
www.firstquality.com,2025-08-12 23:11:05,SIMILARDOMAIN_WHOIS,sfp_whois,windows.co.ug,0,"
**********************************************************
*            The UG ccTLD Registry Database              *
**********************************************************

Domain name:                    windows.co.ug
Status:                         ACTIVE
Expires On:                     2025-12-05
Registered On:                  2001-11-14
Renewed On:                     2024-11-14
Nameserver:                     ns1-07.azure-dns.com
Nameserver:                     ns2-07.azure-dns.net
Nameserver:                     ns3-07.azure-dns.org
Nameserver:                     ns4-07.azure-dns.info

Registrant Contact Information:  
Registrant Name:                Domain Administrator
Registrant Organization:        Microsoft Corporation
Registrant Country:             US
Registrant State / Province:    WA
Registrant City:                Redmond
Registrant Address:             One Microsoft Way
Registrant Postal Code:         98052
Registrant Phone:               +1.4258828080
Registrant Email:               "
www.firstquality.com,2025-08-12 23:11:07,SIMILARDOMAIN_WHOIS,sfp_whois,windows.ne.ug,0,"
**********************************************************
*            The UG ccTLD Registry Database              *
**********************************************************

Domain name:                    windows.ne.ug
Status:                         ACTIVE
Expires On:                     2025-12-05
Registered On:                  2001-11-14
Renewed On:                     2024-11-14
Nameserver:                     ns1-05.azure-dns.com
Nameserver:                     ns2-05.azure-dns.net
Nameserver:                     ns3-05.azure-dns.org
Nameserver:                     ns4-05.azure-dns.info

Registrant Contact Information:  
Registrant Name:                Domain Administrator
Registrant Organization:        Microsoft Corporation
Registrant Country:             US
Registrant State / Province:    WA
Registrant City:                Redmond
Registrant Address:             One Microsoft Way
Registrant Postal Code:         98052
Registrant Phone:               +1.4258828080
Registrant Email:               "
